pagina,voce_originale,destinazioni_alternative
20,Refrigeratori,rifiuti_ingombranti|centro_di_raccolta
20,Reggette per legature pacchi,imballaggi_plastica
20,Reti in ferro per letti,rifiuti_ingombranti|centro_di_raccolta
20,Retine in plastica per frutta e verdura,imballaggi_plastica
21,"Ringhiere in ferro, legno o plastica",centro_di_raccolta
21,Rubinetteria,centro_di_raccolta
21,"Sacchetti in plastica (surgelati, caffè, merendine, patatine, salatini)",imballaggi_plastica
21,Sacchetti dell’aspirapolvere usati,rifiuto_non_recuperabile
21,Sacchetti di carta,carta_e_cartone
21,Sacchi per materiale edile,centro_di_raccolta
21,Sanitari,rifiuti_ingombranti|centro_di_raccolta
21,Sapone e saponette,rifiuto_non_recuperabile
21,Scaffali e strutture in ferro,rifiuti_ingombranti|centro_di_raccolta
21,Scaldabagno,rifiuti_ingombranti|centro_di_raccolta
21,Scatole in cartone o cartoncino,carta_e_cartone
21,Sci e scarponi da sci,centro_di_raccolta
21,Scontrini fiscali (carta chimica o termica),rifiuto_non_recuperabile
21,Scope,rifiuto_non_recuperabile
21,Secchielli di plastica,rifiuto_non_recuperabile
21,Segatura pulita,organico
21,Segatura sporca di prodotti detergenti o altro,rifiuto_non_recuperabile
21,Seggioloni per bambini,centro_di_raccolta
21,Semi,organico
21,Sfalci d’erba,centro_di_raccolta
21,Siringhe,rifiuto_non_recuperabile
21,Smalti,centro_di_raccolta
21,Spazzolini da denti,rifiuto_non_recuperabile
21,Specchi,centro_di_raccolta
21,Specchi di piccole dimensioni,rifiuto_non_recuperabile
21,Spugne,rifiuto_non_recuperabile
21,Stampanti,centro_di_raccolta
21,Stecchi dei gelati in legno,organico
21,Stereo,centro_di_raccolta
21,Stracci e strofinacci,rifiuto_non_recuperabile
21,Stuzzicadenti,organico
21,Taglieri in legno,centro_di_raccolta
21,Taglieri in plastica,rifiuto_non_recuperabile
21,Tapparelle,centro_di_raccolta
21,Tappetini,rifiuto_non_recuperabile
21,Tappeti,centro_di_raccolta
21,Tappi a corona in metallo,vetro_e_imballaggi_metallo
21,Tappi di sughero,centro_di_raccolta|organico
21,Tappi in alluminio,vetro_e_imballaggi_metallo
21,Tastiere per computer,centro_di_raccolta
21,Telecomandi e telefoni,centro_di_raccolta
21,Televisori,rifiuti_ingombranti|centro_di_raccolta
21,Termometri digitali e a mercurio,centro_di_raccolta
21,Terrecotte,rifiuto_non_recuperabile
21,Torsoli,organico
21,Tovaglioli di carta bagnati o unti di cibo,organico
21,Tovaglioli di carta puliti,carta_e_cartone
21,Truciolato,centro_di_raccolta
21,Truciolato (piccole quantità),organico
21,Tubetti vuoti del dentifricio,imballaggi_plastica
